Model,NSeeds,Fidelity_mean,Fidelity_std,Diversity_mean,Diversity_std,Robustness_mean,Robustness_std,Utility_mean,Utility_std,MacroF1_mean,MacroF1_std,Fairness_mean,Fairness_std,Safety_mean,Safety_std
Baseline,3,1.3081873462389,0.4018923157824792,22.281814617906278,0.2167845725260287,0.0003062418193148803,6.038870207048975e-08,0.7109117629633918,0.023110450857024015,0.6146586102737187,0.03209333638263817,0.7195776965306719,0.017662518696908814,0.617163945755647,0.00720646747987579
Robust,3,0.8400818013217898,0.10825558500433682,20.81368024892837,0.07783872469061291,1.5998897857005427e-05,6.714962632385837e-09,0.707543111472377,0.025458447606761806,0.6455815015900557,0.024316968321215784,0.8041234502469473,0.019445811685847685,0.6819464589644921,0.01371569868866536
TimeGAN,3,1.0488407801723372,0.021395725140995688,19.519567489624023,0.3238620036647418,0.013560858555138111,0.004584704188433494,0.4832257749815383,0.04414236805575671,0.3152419557692095,0.007825939476756682,0.7107918084637411,0.07118757338865493,0.8227745209358366,0.07565458872209552
LSTM-VAE,3,1.0678223596543501,0.024620965679777472,15.013188997904459,3.9493029033552225,0.005565890149834256,0.0028533172067354614,0.4552198834380956,0.04975201520067206,0.3373567216213062,0.027132991273281892,0.7832350540186267,0.05448184875402291,0.9331291754277508,0.05462408211861782
