Model,NSeeds,Fidelity_mean,Fidelity_std,Diversity_mean,Diversity_std,Robustness_mean,Robustness_std,Utility_mean,Utility_std,MacroF1_mean,MacroF1_std,Fairness_mean,Fairness_std,Safety_mean,Safety_std
Baseline,3,2.43406731338059,0.58402561451993,18.744712114057624,0.32927991008622143,0.0003062124204072169,1.102486993450652e-07,0.7460696934533985,0.02472255489910728,0.43496532018422157,0.0702214968863919,0.5908915964318786,0.03203174729719137,0.6044415378616511,0.027865950297256272
Robust,3,1.6822107350409077,0.2896453943097594,16.94118884815387,0.40605252529383723,1.6000905411852696e-05,1.3816249758023717e-08,0.7342331110527444,0.06642908245079976,0.4639235065069265,0.04223864658978285,0.6262635265731563,0.0352657198952302,0.6888393489989908,0.024943454811158013
TimeGAN,3,1.3545619566348952,0.16859718512186805,15.83341121673584,2.239217975851458,0.012191635246078173,0.0025529278585980403,0.5281900812439463,0.02382763881505603,0.2063868966379946,0.00810210612019196,0.7063649324434863,0.015883487064506593,0.4601563809052604,0.04955235409577969
LSTM-VAE,3,1.2840273240014,0.047621540194756784,12.747183799743652,2.3858762400615325,0.002493922016583383,0.0007118980285646788,0.5280528125989842,0.023378509206135423,0.1916898901677766,0.008569994384996999,0.7025643181689469,0.02223307947162034,0.8154973729693782,0.04299863902564227
